Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,272.580625,-98.343125,270.0,bottom
C1,268.067202,-89.079702,0.0,bottom
C10,272.330625,-73.593125,0.0,bottom
C2,273.94625,-75.39,180.0,bottom
C3,273.830625,-76.843125,180.0,bottom
C4,265.080625,-77.093125,90.0,bottom
C5,274.080625,-85.593125,270.0,bottom
C6,273.580625,-87.093125,180.0,bottom
C7,268.067202,-87.829702,180.0,bottom
C8,272.580625,-66.843125,90.0,bottom
C9,271.080625,-70.093125,90.0,bottom
D1,30.265,-26.97125,90.0,bottom
D10,216.0025,-26.97125,90.0,bottom
D11,235.0525,-26.97125,90.0,bottom
D12,245.37125,-21.130625,90.0,bottom
D13,281.88375,-21.415,90.0,bottom
D14,296.965,-26.97125,90.0,bottom
D15,316.015,-26.97125,90.0,bottom
D16,30.265,-50.78375,90.0,bottom
D17,49.315,-50.78375,90.0,bottom
D18,68.365,-50.78375,90.0,bottom
D19,87.415,-50.78375,90.0,bottom
D2,54.0775,-26.97125,90.0,bottom
D20,106.465,-50.78375,90.0,bottom
D21,125.515,-50.78375,90.0,bottom
D22,144.565,-50.78375,90.0,bottom
D23,163.615,-50.78375,90.0,bottom
D24,182.665,-50.78375,90.0,bottom
D25,201.715,-50.78375,90.0,bottom
D26,220.765,-50.78375,90.0,bottom
D27,246.95875,-50.78375,90.0,bottom
D28,277.915,-50.78375,90.0,bottom
D29,296.965,-50.78375,90.0,bottom
D3,73.1275,-26.97125,90.0,bottom
D30,316.015,-50.78375,90.0,bottom
D31,32.64625,-69.83375,90.0,bottom
D32,54.0775,-69.83375,90.0,bottom
D33,73.1275,-69.83375,90.0,bottom
D34,92.1775,-69.83375,90.0,bottom
D35,111.2275,-69.83375,90.0,bottom
D36,130.2775,-69.83375,90.0,bottom
D37,149.3275,-69.83375,90.0,bottom
D38,168.3775,-69.83375,90.0,bottom
D39,187.4275,-69.83375,90.0,bottom
D4,92.1775,-26.97125,90.0,bottom
D40,206.4775,-69.83375,90.0,bottom
D41,225.5275,-69.83375,90.0,bottom
D42,249.34,-69.83375,90.0,bottom
D43,37.40875,-88.88375,90.0,bottom
D44,63.6025,-88.88375,90.0,bottom
D45,82.6525,-88.88375,90.0,bottom
D46,101.7025,-88.88375,90.0,bottom
D47,120.7525,-88.88375,90.0,bottom
D48,139.8025,-88.88375,90.0,bottom
D49,158.8525,-88.88375,90.0,bottom
D5,111.2275,-26.97125,90.0,bottom
D50,177.9025,-88.88375,90.0,bottom
D51,196.9525,-88.88375,90.0,bottom
D52,216.0025,-88.88375,90.0,bottom
D53,235.0525,-88.88375,90.0,bottom
D54,254.1025,-88.88375,90.0,bottom
D55,296.965,-88.88375,90.0,bottom
D56,32.64625,-107.93375,90.0,bottom
D57,54.0775,-107.93375,90.0,bottom
D58,73.1275,-107.93375,90.0,bottom
D59,154.09,-107.424375,90.0,bottom
D6,135.04,-26.97125,90.0,bottom
D60,211.24,-107.93375,90.0,bottom
D61,230.29,-107.93375,90.0,bottom
D62,251.72125,-107.93375,90.0,bottom
D63,266.8025,-106.743125,90.0,bottom
D64,296.965,-107.93375,90.0,bottom
D65,316.015,-107.93375,90.0,bottom
D7,154.09,-26.97125,90.0,bottom
D8,173.14,-26.97125,90.0,bottom
D9,192.19,-26.97125,90.0,bottom
F1,269.580625,-67.843125,180.0,bottom
J1,263.230625,-20.930625,0.0,bottom
MX1,27.09,-26.1775,0.0,top
MX10,212.8275,-26.1775,0.0,top
MX11,231.8775,-26.1775,0.0,top
MX12,250.9275,-26.1775,180.0,top
MX13,274.74,-26.1775,180.0,top
MX14,293.79,-26.1775,0.0,top
MX15,312.84,-26.1775,0.0,top
MX16,27.09,-49.99,0.0,top
MX17,46.14,-49.99,0.0,top
MX18,65.19,-49.99,0.0,top
MX19,84.24,-49.99,0.0,top
MX2,50.9025,-26.1775,0.0,top
MX20,103.29,-49.99,0.0,top
MX21,122.34,-49.99,0.0,top
MX22,141.39,-49.99,0.0,top
MX23,160.44,-49.99,0.0,top
MX24,179.49,-49.99,0.0,top
MX25,198.54,-49.99,0.0,top
MX26,217.59,-49.99,0.0,top
MX27,243.78375,-49.99,0.0,top
MX28,274.74,-49.99,0.0,top
MX29,293.79,-49.99,0.0,top
MX3,69.9525,-26.1775,0.0,top
MX30,312.84,-49.99,0.0,top
MX31,29.47125,-69.04,0.0,top
MX32,50.9025,-69.04,0.0,top
MX33,69.9525,-69.04,0.0,top
MX34,89.0025,-69.04,0.0,top
MX35,108.0525,-69.04,0.0,top
MX36,127.1025,-69.04,0.0,top
MX37,146.1525,-69.04,0.0,top
MX38,165.2025,-69.04,0.0,top
MX39,184.2525,-69.04,0.0,top
MX4,89.0025,-26.1775,0.0,top
MX40,203.3025,-69.04,0.0,top
MX41,222.3525,-69.04,0.0,top
MX42,246.165,-69.04,0.0,top
MX43,34.23375,-88.09,0.0,top
MX44,60.4275,-88.09,0.0,top
MX45,79.4775,-88.09,0.0,top
MX46,98.5275,-88.09,0.0,top
MX47,117.5775,-88.09,0.0,top
MX48,136.6275,-88.09,0.0,top
MX49,155.6775,-88.09,0.0,top
MX5,108.0525,-26.1775,0.0,top
MX50,174.7275,-88.09,0.0,top
MX51,193.7775,-88.09,0.0,top
MX52,212.8275,-88.09,0.0,top
MX53,231.8775,-88.09,0.0,top
MX54,250.9275,-88.09,0.0,top
MX55,293.79,-88.09,0.0,top
MX56,29.47125,-107.14,0.0,top
MX57,50.9025,-107.14,0.0,top
MX58,69.9525,-107.14,0.0,top
MX59,139.00875,-106.81555,180.0,top
MX6,131.865,-26.1775,0.0,top
MX60,208.065,-107.14,0.0,top
MX61,227.115,-107.14,0.0,top
MX62,248.54625,-107.14,0.0,top
MX63,274.74,-107.14,180.0,top
MX64,293.79,-107.14,0.0,top
MX65,312.84,-107.14,0.0,top
MX7,150.915,-26.1775,0.0,top
MX8,169.965,-26.1775,0.0,top
MX9,189.015,-26.1775,0.0,top
R1,261.643125,-25.780625,90.0,bottom
R2,264.818125,-25.780625,270.0,bottom
R3,270.830625,-91.343125,0.0,bottom
R4,268.330625,-91.343125,0.0,bottom
RST1,266.580625,-98.343125,90.0,bottom
U1,269.580625,-81.343125,90.0,bottom
U2,269.580625,-63.593125,90.0,bottom
U3,273.830625,-71.093125,180.0,bottom
